occurtime,power
2021-01-17_18:40:00,3.44
2021-01-17_18:45:00,3.44
2021-01-17_18:50:00,3.44
2021-01-17_18:55:00,3.44
2021-01-17_19:00:00,3.6
2021-01-17_19:05:00,3.52
2021-01-17_19:10:00,3.44
2021-01-17_19:15:00,3.44
2021-01-17_19:20:00,3.76
2021-01-17_19:25:00,3.52
2021-01-17_19:30:00,3.43
2021-01-17_19:35:00,3.44
2021-01-17_19:40:00,3.44
2021-01-17_19:45:00,3.44
2021-01-17_19:50:00,3.36
2021-01-17_19:55:00,3.44
2021-01-17_20:00:00,3.39
2021-01-17_20:05:00,3.36
2021-01-17_20:10:00,3.44
2021-01-17_20:15:00,3.44
2021-01-17_20:20:00,3.52
2021-01-17_20:25:00,3.41
2021-01-17_20:30:00,3.44
2021-01-17_20:35:00,3.52
2021-01-17_20:40:00,3.52
2021-01-17_20:45:00,3.44
2021-01-17_20:50:00,3.52
2021-01-17_20:55:00,3.39
2021-01-17_21:00:00,3.52
2021-01-17_21:05:00,3.36
2021-01-17_21:10:00,3.44
2021-01-17_21:15:00,3.44
2021-01-17_21:20:00,3.41
2021-01-17_21:25:00,3.44
2021-01-17_21:30:00,3.44
2021-01-17_21:35:00,3.44
2021-01-17_21:40:00,3.39
2021-01-17_21:45:00,3.41
2021-01-17_21:50:00,3.36
2021-01-17_21:55:00,3.44
2021-01-17_22:00:00,3.44
2021-01-17_22:05:00,3.44
2021-01-17_22:10:00,3.44
2021-01-17_22:15:00,3.44
2021-01-17_22:20:00,3.44
2021-01-17_22:25:00,3.38
2021-01-17_22:30:00,3.52
2021-01-17_22:35:00,3.44
2021-01-17_22:40:00,3.44
2021-01-17_22:45:00,3.44
2021-01-17_22:50:00,3.37
2021-01-17_22:55:00,3.44
2021-01-17_23:00:00,3.44
2021-01-17_23:05:00,3.36
